"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Ylin lämpötila [°C]"
"Enontekiö Kilpisjärvi Saana","2023","4","11","03:00","-0.1"
"Enontekiö Kilpisjärvi Saana","2023","4","12","03:00","-1"
"Enontekiö Kilpisjärvi Saana","2023","4","13","03:00","-1.8"
"Enontekiö Kilpisjärvi Saana","2023","4","14","03:00","-3"
"Enontekiö Kilpisjärvi Saana","2023","4","15","03:00","-2.3"
"Enontekiö Kilpisjärvi Saana","2023","4","16","03:00","0.2"
"Enontekiö Kilpisjärvi Saana","2023","4","17","03:00","-1.3"
"Enontekiö Kilpisjärvi Saana","2023","4","18","03:00","0.1"
"Enontekiö Kilpisjärvi Saana","2023","4","19","03:00","2.7"
"Enontekiö Kilpisjärvi Saana","2023","4","20","03:00","1.5"
"Enontekiö Kilpisjärvi Saana","2023","4","21","03:00","0.3"
"Enontekiö Kilpisjärvi Saana","2023","4","22","03:00","-5.8"
"Enontekiö Kilpisjärvi Saana","2023","4","23","03:00","-8.6"
"Enontekiö Kilpisjärvi Saana","2023","4","24","03:00","-4.8"
"Enontekiö Kilpisjärvi Saana","2023","4","25","03:00","-4.4"
"Enontekiö Kilpisjärvi Saana","2023","4","26","03:00","-5.6"
"Enontekiö Kilpisjärvi Saana","2023","4","27","03:00","1"
"Enontekiö Kilpisjärvi Saana","2023","4","28","03:00","0.2"
"Enontekiö Kilpisjärvi Saana","2023","4","29","03:00","-3.2"
"Enontekiö Kilpisjärvi Saana","2023","4","30","03:00","-1.9"
"Enontekiö Kilpisjärvi Saana","2023","5","1","03:00","-3.3"
"Enontekiö Kilpisjärvi Saana","2023","5","2","03:00","-5.1"
"Enontekiö Kilpisjärvi Saana","2023","5","3","03:00","-8.2"
"Enontekiö Kilpisjärvi Saana","2023","5","4","03:00","-6.1"
"Enontekiö Kilpisjärvi Saana","2023","5","5","03:00","-3.4"
"Enontekiö Kilpisjärvi Saana","2023","5","6","03:00","-1.2"
"Enontekiö Kilpisjärvi Saana","2023","5","7","03:00","1"
"Enontekiö Kilpisjärvi Saana","2023","5","8","03:00","1.5"
"Enontekiö Kilpisjärvi Saana","2023","5","9","03:00","4.3"
"Enontekiö Kilpisjärvi Saana","2023","5","10","03:00","6.7"
"Enontekiö Kilpisjärvi Saana","2023","5","11","03:00","6.7"
